rolling,AnchorId,TagID,Distance,RXL,FPL
25558,17839,23845,299,67,73
25558,23845,17839,302,65,73
25557,17839,23845,303,67,74
25557,23845,17839,298,67,73
25564,17839,23845,303,67,74
25564,23845,17839,300,65,73
25570,17839,23845,294,65,71
25570,23845,17839,295,65,73
25576,17839,23845,304,67,73
25576,23845,17839,302,65,71
25582,17839,23845,299,67,74
25582,23845,17839,296,67,73
25588,17839,23845,294,67,73
25588,23845,17839,296,65,73
25594,17839,23845,302,67,73
25594,23845,17839,303,65,73
25600,17839,23845,299,67,75
25600,23845,17839,298,67,73
25562,17839,23845,302,67,73
25562,23845,17839,303,65,71
25606,17839,23845,295,65,73
25606,23845,17839,293,65,73
25612,17839,23845,298,67,73
25612,23845,17839,301,65,75
25618,17839,23845,301,67,73
25618,23845,17839,302,65,73
25624,17839,23845,302,67,73
25624,23845,17839,300,65,73
25630,17839,23845,296,65,74
25630,23845,17839,296,65,73
25563,17839,23845,295,67,73
25563,23845,17839,297,65,73
25636,17839,23845,293,65,73
25636,23845,17839,294,65,73
25569,17839,23845,301,65,71
25569,23845,17839,296,67,73
25575,17839,23845,296,67,74
25575,23845,17839,296,67,73
25581,17839,23845,300,67,73
25581,23845,17839,303,65,73
25587,17839,23845,303,67,73
25587,23845,17839,305,67,71
25568,17839,23845,298,65,73
25568,23845,17839,294,65,73
25561,17839,23845,295,65,73
25561,23845,17839,295,65,73
25574,17839,23845,301,67,71
25574,23845,17839,304,65,74
25580,17839,23845,300,67,75
25580,23845,17839,299,65,73
25586,17839,23845,293,65,73
25586,23845,17839,294,65,73
25593,17839,23845,296,67,74
25593,23845,17839,293,67,73
25592,17839,23845,298,67,73
25592,23845,17839,302,67,73
25598,17839,23845,302,67,73
25598,23845,17839,299,67,73
25599,17839,23845,296,67,73
25599,23845,17839,302,65,74
25604,17839,23845,296,67,74
25604,23845,17839,295,67,73
25605,17839,23845,302,67,71
25605,23845,17839,303,67,73
25610,17839,23845,297,67,73
25610,23845,17839,298,65,74
25611,17839,23845,300,67,74
25611,23845,17839,299,67,73
25616,17839,23845,302,67,73
25616,23845,17839,301,65,71
25617,17839,23845,296,65,73
25617,23845,17839,294,65,73
25622,17839,23845,302,67,73
25622,23845,17839,302,67,73
25628,17839,23845,298,67,74
25628,23845,17839,296,67,73
25634,17839,23845,294,67,74
25634,23845,17839,293,65,73
25623,17839,23845,297,64,71
25623,23845,17839,296,65,74
25629,17839,23845,299,67,73
25629,23845,17839,300,65,73
25635,17839,23845,302,67,73
25635,23845,17839,301,65,71
25640,17839,23845,294,65,73
25640,23845,17839,296,65,73
25567,17839,23845,302,67,73
25567,23845,17839,301,65,71
25573,17839,23845,302,67,75
25573,23845,17839,296,67,73
25579,17839,23845,294,67,73
25579,23845,17839,300,65,74
25585,17839,23845,304,67,73
25585,23845,17839,303,67,73
25591,17839,23845,302,67,75
25591,23845,17839,296,67,73
25597,17839,23845,296,65,73
25597,23845,17839,296,65,74
25603,17839,23845,303,65,71
25603,23845,17839,302,65,73
25559,17839,23845,298,65,74
25559,23845,17839,295,67,73
25609,17839,23845,302,67,73
25609,23845,17839,300,65,73
25565,17839,23845,297,67,73
25565,23845,17839,302,65,73
25615,17839,23845,296,65,74
25615,23845,17839,296,67,73
25621,17839,23845,298,65,71
25621,23845,17839,297,65,74
25571,17839,23845,296,67,73
25571,23845,17839,302,67,73
25627,17839,23845,300,67,73
25627,23845,17839,299,65,74
25577,17839,23845,296,65,71
25577,23845,17839,294,65,73
25583,17839,23845,303,67,73
25583,23845,17839,304,67,73
25633,17839,23845,302,67,73
25633,23845,17839,302,65,73
25639,17839,23845,300,67,71
25639,23845,17839,304,65,71
25589,17839,23845,305,67,71
25589,23845,17839,302,67,73
25595,17839,23845,293,65,73
25595,23845,17839,296,65,73
25601,17839,23845,302,67,73
25601,23845,17839,303,65,75
25607,17839,23845,303,65,71
25607,23845,17839,302,67,73
25613,17839,23845,299,67,74
25613,23845,17839,296,67,73
25619,17839,23845,294,65,73
25619,23845,17839,298,65,74
25625,17839,23845,296,67,71
25625,23845,17839,300,65,74
25631,17839,23845,300,67,73
25631,23845,17839,302,65,75
25637,17839,23845,301,65,71
25637,23845,17839,300,67,74
25641,17839,23845,304,67,73
25641,23845,17839,302,65,71
25560,17839,23845,302,67,71
25560,23845,17839,302,67,73
25566,17839,23845,300,67,74
25566,23845,17839,298,65,73
