rolling,AnchorId,TagID,Distance,RXL,FPL
27742,2812,17839,295,63,73
27743,17839,2812,0,67,73
27743,2812,17839,284,63,75
27744,17839,2812,295,67,74
27744,2812,17839,293,64,74
27745,17839,2812,284,65,73
27745,2812,17839,293,63,74
27746,17839,2812,293,65,74
27746,2812,17839,289,63,73
27747,17839,2812,293,65,71
27747,2812,17839,293,63,74
27748,17839,2812,289,65,73
27748,2812,17839,287,63,74
27749,17839,2812,293,65,71
27749,2812,17839,291,63,71
27750,17839,2812,287,64,73
27750,2812,17839,287,63,74
27751,17839,2812,291,65,73
27751,2812,17839,292,63,71
27752,17839,2812,287,65,73
27752,2812,17839,286,64,75
27753,17839,2812,292,67,74
27753,2812,17839,294,63,71
27754,17839,2812,286,67,73
27754,2812,17839,285,63,75
27755,17839,2812,294,67,74
27755,2812,17839,294,63,73
27756,17839,2812,285,65,71
27756,2812,17839,286,63,74
27758,17839,2812,286,65,71
27758,2812,17839,291,63,71
27757,17839,2812,294,67,74
27757,2812,17839,292,63,73
27759,17839,2812,292,65,73
27759,2812,17839,290,63,74
27760,17839,2812,291,65,71
27760,2812,17839,291,63,71
27761,17839,2812,290,67,73
27761,2812,17839,287,63,73
27762,17839,2812,291,65,71
27762,2812,17839,293,63,73
27763,17839,2812,287,65,71
27763,2812,17839,285,63,74
27764,17839,2812,293,67,74
27764,2812,17839,296,63,73
27765,17839,2812,285,67,73
27765,2812,17839,286,63,75
27766,17839,2812,296,65,74
27766,2812,17839,295,64,73
27767,17839,2812,286,67,73
27767,2812,17839,286,64,76
27768,17839,2812,295,67,74
27768,2812,17839,297,63,73
27769,17839,2812,286,65,73
27769,2812,17839,282,64,75
27770,17839,2812,297,67,74
27770,2812,17839,293,63,73
27771,17839,2812,282,67,73
27771,2812,17839,285,64,76
27772,17839,2812,293,65,74
27772,2812,17839,291,63,73
27773,17839,2812,285,65,71
27773,2812,17839,291,63,74
27774,17839,2812,291,65,74
27774,2812,17839,294,63,74
27775,17839,2812,291,67,73
27775,2812,17839,283,64,75
27776,17839,2812,294,67,74
27776,2812,17839,294,63,73
27777,17839,2812,283,65,73
27777,2812,17839,284,64,73
27778,17839,2812,294,67,74
27778,2812,17839,295,63,73
27779,17839,2812,284,65,73
27779,2812,17839,289,63,74
27780,17839,2812,295,67,74
27780,2812,17839,296,64,73
27781,17839,2812,289,65,73
27781,2812,17839,288,63,74
27783,17839,2812,288,65,73
27783,2812,17839,290,63,74
27782,17839,2812,296,67,74
27782,2812,17839,291,63,73
27784,17839,2812,291,67,74
27784,2812,17839,296,63,73
27785,17839,2812,290,65,71
27785,2812,17839,286,63,74
27786,17839,2812,296,67,73
27786,2812,17839,298,64,73
27787,17839,2812,286,65,73
27787,2812,17839,287,64,75
27788,17839,2812,298,65,71
27788,2812,17839,294,63,71
27789,17839,2812,287,65,73
27789,2812,17839,292,63,73
27790,17839,2812,294,65,71
27790,2812,17839,292,63,74
27792,17839,2812,292,65,71
27792,2812,17839,288,64,75
27791,17839,2812,292,65,74
27791,2812,17839,290,63,73
27793,17839,2812,290,65,74
27793,2812,17839,299,63,73
27794,17839,2812,288,65,73
27794,2812,17839,288,64,75
27797,17839,2812,291,65,71
27797,2812,17839,289,63,74
27796,17839,2812,288,67,74
27796,2812,17839,292,63,73
27795,17839,2812,299,65,71
27795,2812,17839,291,65,74
27798,17839,2812,292,65,74
27798,2812,17839,294,63,73
27799,17839,2812,289,67,73
27799,2812,17839,287,63,74
27800,17839,2812,294,65,74
27800,2812,17839,292,63,73
27801,17839,2812,287,65,71
27801,2812,17839,286,64,75
27802,17839,2812,292,67,73
27802,2812,17839,297,65,74
27803,17839,2812,286,65,73
27803,2812,17839,285,64,75
27804,17839,2812,297,65,73
27804,2812,17839,290,64,73
27805,17839,2812,285,67,74
27805,2812,17839,288,63,73
27806,17839,2812,290,65,73
27806,2812,17839,287,63,75
27807,17839,2812,288,65,74
27807,2812,17839,292,63,73
27808,17839,2812,287,65,73
27808,2812,17839,290,63,74
27809,17839,2812,292,67,74
27809,2812,17839,297,63,73
27810,17839,2812,290,65,71
27810,2812,17839,286,64,75
27811,17839,2812,297,67,74
27811,2812,17839,296,63,71
27812,17839,2812,286,65,73
27812,2812,17839,286,63,74
27813,17839,2812,296,67,73
27813,2812,17839,287,63,71
27814,17839,2812,286,65,73
27814,2812,17839,290,63,73
27815,17839,2812,287,65,71
27815,2812,17839,296,64,73
27816,17839,2812,290,65,74
27816,2812,17839,289,63,73
27817,17839,2812,296,65,71
27817,2812,17839,284,64,73
27818,17839,2812,289,67,74
27818,2812,17839,294,63,73
27819,17839,2812,284,65,71
27819,2812,17839,285,63,74
27820,17839,2812,294,65,73
27820,2812,17839,295,63,71
27821,17839,2812,285,67,73
27821,2812,17839,290,63,74
27822,17839,2812,295,65,71
27822,2812,17839,288,64,73
27823,17839,2812,290,67,74
27823,2812,17839,294,63,74
27824,17839,2812,288,65,71
27824,2812,17839,287,63,74
27825,17839,2812,294,67,74
27825,2812,17839,295,63,73
27826,17839,2812,287,65,71
27826,2812,17839,286,63,75
27827,17839,2812,295,64,74
27827,2812,17839,289,63,71
27828,17839,2812,286,67,73
27828,2812,17839,288,63,74
27829,17839,2812,289,65,71
27829,2812,17839,291,63,75
27830,17839,2812,288,67,74
27830,2812,17839,291,63,73
27831,17839,2812,291,65,73
27831,2812,17839,290,64,75
27832,17839,2812,291,65,74
27832,2812,17839,298,63,73
27833,17839,2812,290,65,73
27833,2812,17839,290,65,75
27834,17839,2812,298,65,73
27834,2812,17839,290,63,71
27835,17839,2812,290,65,73
27835,2812,17839,285,63,74
27836,17839,2812,290,65,73
27836,2812,17839,292,63,74
27837,17839,2812,285,67,74
27837,2812,17839,292,63,73
27838,17839,2812,292,65,71
27838,2812,17839,288,65,74
27839,17839,2812,292,65,73
27839,2812,17839,291,64,73
27840,17839,2812,288,67,73
27840,2812,17839,289,63,74
27841,17839,2812,291,67,73
27841,2812,17839,288,63,74
27842,17839,2812,289,67,74
27842,2812,17839,292,63,73
27843,17839,2812,288,65,73
27843,2812,17839,289,62,74
27844,17839,2812,292,65,73
27844,2812,17839,294,63,73
27845,17839,2812,289,65,71
27845,2812,17839,286,63,74
27846,17839,2812,294,67,73
27846,2812,17839,289,63,71
27847,17839,2812,286,65,74
27847,2812,17839,289,63,73
27848,17839,2812,289,65,73
27848,2812,17839,286,63,74
27849,17839,2812,289,67,73
27849,2812,17839,294,63,73
27850,17839,2812,286,65,73
27850,2812,17839,289,63,74
27851,17839,2812,294,65,71
27851,2812,17839,288,64,73
27852,17839,2812,289,67,74
27852,2812,17839,292,63,73
27853,17839,2812,288,65,73
27853,2812,17839,282,64,75
27854,17839,2812,292,65,73
27854,2812,17839,298,64,73
27855,17839,2812,282,67,73
27855,2812,17839,290,63,74
27856,17839,2812,298,65,71
27856,2812,17839,288,63,75
27857,17839,2812,290,67,74
27857,2812,17839,294,63,73
27858,17839,2812,288,65,73
27858,2812,17839,289,62,74
27859,17839,2812,294,65,73
27859,2812,17839,294,63,73
27860,17839,2812,289,65,73
27860,2812,17839,289,63,73
27861,17839,2812,294,67,73
27861,2812,17839,288,63,71
27862,17839,2812,289,65,73
27862,2812,17839,291,63,74
27863,17839,2812,288,65,71
27863,2812,17839,292,64,75
27865,17839,2812,292,65,73
27865,2812,17839,288,63,74
27864,17839,2812,291,67,75
27864,2812,17839,297,63,73
27866,17839,2812,297,65,71
27866,2812,17839,288,64,73
27867,17839,2812,288,67,74
27867,2812,17839,288,63,73
27868,17839,2812,288,67,73
27868,2812,17839,290,63,74
27869,17839,2812,288,67,74
27869,2812,17839,291,63,73
27870,17839,2812,290,65,73
27870,2812,17839,287,62,74
27871,17839,2812,291,67,75
27871,2812,17839,292,63,73
27872,17839,2812,287,65,73
27872,2812,17839,287,63,74
27873,17839,2812,292,67,73
27873,2812,17839,296,63,71
27874,17839,2812,287,65,73
27874,2812,17839,288,63,74
27875,17839,2812,296,65,71
27875,2812,17839,290,63,71
27877,17839,2812,290,65,71
27877,2812,17839,293,63,74
27876,17839,2812,288,67,74
27876,2812,17839,294,63,73
27878,17839,2812,294,67,74
27878,2812,17839,295,64,73
27879,17839,2812,293,65,71
27879,2812,17839,290,62,74
