rolling,AnchorId,TagID,TOA,POA_SYNC,POA_REPLY
27766,2812,17839,6093,124,77
27767,31699,17839,12084,169,167
27767,31699,2812,17430,87,89
27767,2259,17839,12053,98,85
27767,2259,2812,17429,134,133
27767,23339,17839,12061,11,6
27767,23339,2812,17397,19,15
27767,2812,17839,12057,202,122
27768,31699,17839,18575,245,184
27768,31699,2812,23061,91,89
27768,2259,17839,18542,163,167
27768,2259,2812,23064,137,131
27768,23339,17839,18574,90,38
27768,23339,2812,23030,17,18
27768,2812,17839,18577,215,163
27769,31699,17839,24565,46,21
27769,31699,2812,29210,85,81
27769,23339,17839,24538,156,140
27769,23339,2812,29174,18,9
27769,2259,17839,24533,253,208
27769,2259,2812,29200,135,135
27769,2812,17839,24525,79,10
27770,31699,17839,30543,98,47
27770,31699,2812,35359,84,87
27770,2259,17839,30518,31,2
27770,2259,2812,35348,137,134
27770,23339,17839,30527,224,144
27770,23339,2812,35333,5,9
27770,2812,17839,30533,82,26
27771,31699,17839,36537,122,87
27771,31699,2812,41490,85,94
27771,2259,17839,36506,60,248
27771,2259,2812,41488,137,130
27771,23339,17839,36517,198,177
27771,23339,2812,41462,8,20
27771,2812,17839,36498,160,71
27772,31699,17839,42513,151,64
27772,31699,2812,47637,87,81
27772,23339,17839,42510,1,174
27772,23339,2812,47610,9,253
27772,2259,17839,42495,76,47
27772,2259,2812,47637,130,144
27772,2812,17839,42512,131,43
27773,2259,17839,48473,105,36
27773,31699,17839,48508,161,127
27773,31699,2812,53783,84,87
27773,23339,17839,48516,220,183
27773,23339,2812,53749,13,9
27773,2812,17839,48491,140,83
27774,31699,17839,54486,193,134
27774,31699,2812,59413,84,84
27774,23339,17839,54509,240,213
27774,23339,2812,59381,18,17
27774,2259,17839,54463,108,113
27774,2259,2812,59408,130,129
27774,2812,17839,54484,158,110
27775,31699,17839,60474,248,0
27775,31699,2812,26,90,82
27775,2259,17839,60440,200,164
27775,2259,2812,27,134,124
27775,23339,17839,60468,85,48
27775,23339,2812,65529,250,11
27775,2812,17839,60444,27,234
27776,31699,17839,917,125,48
27776,31699,2812,6170,89,79
27776,23339,17839,919,206,154
27776,23339,2812,6134,19,10
27776,2259,17839,888,41,243
27776,2259,2812,6163,133,129
27776,2812,17839,909,85,23
27777,31699,17839,6905,178,210
27777,31699,2812,11800,91,89
27777,2259,17839,6867,140,120
27777,2259,2812,11795,141,129
27777,23339,17839,6883,35,51
27777,23339,2812,11771,16,10
27777,2812,17839,6873,163,182
27778,31699,17839,12883,57,3
27778,31699,2812,17944,86,93
27778,2259,17839,12855,230,200
27778,2259,2812,17944,135,128
27778,23339,17839,12891,125,105
27778,23339,2812,17912,9,11
27778,2812,17839,12889,26,226
27779,2259,17839,18839,45,10
27779,31699,17839,18872,99,86
27779,31699,2812,24087,90,84
27779,23339,17839,18865,169,188
27779,23339,2812,24054,18,8
27779,2812,17839,18843,86,74
27780,31699,17839,24851,169,134
27780,31699,2812,29715,88,92
27780,2259,17839,24825,94,94
27780,2259,2812,29714,131,131
27780,23339,17839,24843,34,215
27780,23339,2812,29686,11,14
27780,2812,17839,24851,134,92
27781,31699,17839,30848,240,223
27781,31699,2812,35866,82,86
27781,23339,17839,30825,57,73
27781,23339,2812,35834,20,12
27781,2259,17839,30808,181,145
27781,2259,2812,35858,134,135
27781,2812,17839,30809,250,195
27783,31699,17839,42811,139,144
27783,31699,2812,48148,88,84
27783,23339,17839,42804,214,242
27783,23339,2812,48123,10,8
27783,2259,17839,42771,90,55
27783,2259,2812,48146,127,128
27783,2812,17839,42808,148,81
27782,31699,17839,36818,52,10
27782,31699,2812,42010,82,91
27782,2259,17839,36791,231,207
27782,2259,2812,42005,127,140
27782,23339,17839,36837,114,110
27782,23339,2812,41975,6,9
27782,2812,17839,36817,36,227
27784,31699,17839,49301,14,239
27784,31699,2812,53786,86,84
27784,23339,17839,49298,73,89
27784,23339,2812,53752,19,15
27784,2259,17839,49276,180,180
27784,2259,2812,53777,130,121
27784,2812,17839,49288,235,202
27785,31699,17839,55276,127,174
27785,31699,2812,59930,82,85
27785,2259,17839,55245,75,86
27785,2259,2812,59928,135,128
27785,23339,17839,55262,212,24
27785,23339,2812,59898,3,19
27785,2812,17839,55252,151,140
27786,31699,17839,61259,52,100
27786,31699,2812,535,89,89
27786,23339,17839,61247,159,184
27786,23339,2812,503,7,21
27786,2259,17839,61230,236,44
27786,2259,2812,538,128,135
27786,2812,17839,61255,23,90
27787,31699,17839,1700,20,22
27787,31699,2812,6678,85,87
27787,2259,17839,1671,213,195
27787,2259,2812,6673,135,142
27787,23339,17839,1702,129,69
27787,23339,2812,6647,16,22
27787,2812,17839,1684,6,239
27788,31699,17839,7690,142,164
27788,31699,2812,12819,89,85
27788,2259,17839,7650,81,108
27788,2259,2812,12821,136,134
27788,23339,17839,7703,224,238
27788,23339,2812,12792,16,11
27788,2812,17839,7669,110,171
27789,31699,17839,13655,77,57
27789,31699,2812,18965,90,90
27789,2259,17839,13628,2,1
27789,2259,2812,18965,121,145
27789,23339,17839,13677,144,140
27789,23339,2812,18936,19,9
27789,2812,17839,13659,57,33
27790,2259,17839,19609,168,168
27790,31699,17839,19650,200,254
27790,31699,2812,24605,78,89
27790,23339,17839,19657,18,51
27790,23339,2812,24577,15,11
27790,2812,17839,19628,186,223
27792,2259,17839,31573,27,36
27792,31699,17839,31603,54,110
27792,31699,2812,36890,94,90
27792,23339,17839,31592,159,187
27792,23339,2812,36859,9,13
27792,2812,17839,31577,83,90
27791,31699,17839,25620,148,155
