rolling,TagID,AnchorIdx,AnchorId
27742,31699,0,17839
27742,31699,1,65535
27742,31699,2,2812
27742,31699,3,65535
27742,31699,4,65535
27742,31699,5,65535
27742,31699,6,65535
27742,31699,7,65535
27742,2259,0,17839
27742,2259,1,65535
27742,2259,2,2812
27742,2259,3,65535
27742,2259,4,65535
27742,2259,5,65535
27742,2259,6,65535
27742,2259,7,65535
27742,23339,0,17839
27742,23339,1,65535
27742,23339,2,2812
27742,23339,3,65535
27742,23339,4,65535
27742,23339,5,65535
27742,23339,6,65535
27742,23339,7,65535
27742,2812,0,17839
27742,2812,1,65535
27742,2812,2,2812
27742,2812,3,65535
27742,2812,4,65535
27742,2812,5,65535
27742,2812,6,65535
27742,2812,7,65535
27743,2259,0,17839
27743,2259,1,65535
27743,2259,2,2812
27743,2259,3,65535
27743,2259,4,65535
27743,2259,5,65535
27743,2259,6,65535
27743,2259,7,65535
27743,31699,0,17839
27743,31699,1,65535
27743,31699,2,2812
27743,31699,3,65535
27743,31699,4,65535
27743,31699,5,65535
27743,31699,6,65535
27743,31699,7,65535
27743,23339,0,17839
27743,23339,1,65535
27743,23339,2,2812
27743,23339,3,65535
27743,23339,4,65535
27743,23339,5,65535
27743,23339,6,65535
27743,23339,7,65535
27743,2812,0,17839
27743,2812,1,65535
27743,2812,2,2812
27743,2812,3,65535
27743,2812,4,65535
27743,2812,5,65535
27743,2812,6,65535
27743,2812,7,65535
27744,31699,0,17839
27744,31699,1,65535
27744,31699,2,2812
27744,31699,3,65535
27744,31699,4,65535
27744,31699,5,65535
27744,31699,6,65535
27744,31699,7,65535
27744,23339,0,17839
27744,23339,1,65535
27744,23339,2,2812
27744,23339,3,65535
27744,23339,4,65535
27744,23339,5,65535
27744,23339,6,65535
27744,23339,7,65535
27744,2259,0,17839
27744,2259,1,65535
27744,2259,2,2812
27744,2259,3,65535
27744,2259,4,65535
27744,2259,5,65535
27744,2259,6,65535
27744,2259,7,65535
27744,2812,0,17839
27744,2812,1,65535
27744,2812,2,2812
27744,2812,3,65535
27744,2812,4,65535
27744,2812,5,65535
27744,2812,6,65535
27744,2812,7,65535
27745,31699,0,17839
27745,31699,1,65535
27745,31699,2,2812
27745,31699,3,65535
27745,31699,4,65535
27745,31699,5,65535
27745,31699,6,65535
27745,31699,7,65535
27745,2259,0,17839
27745,2259,1,65535
27745,2259,2,2812
27745,2259,3,65535
27745,2259,4,65535
27745,2259,5,65535
27745,2259,6,65535
27745,2259,7,65535
27745,23339,0,17839
27745,23339,1,65535
27745,23339,2,2812
27745,23339,3,65535
27745,23339,4,65535
27745,23339,5,65535
27745,23339,6,65535
27745,23339,7,65535
27745,2812,0,17839
27745,2812,1,65535
27745,2812,2,2812
27745,2812,3,65535
27745,2812,4,65535
27745,2812,5,65535
