rolling,TagID,AnchorIdx,AnchorId
277,31699,0,17839
277,31699,1,65535
277,31699,2,2812
277,31699,3,65535
277,31699,4,65535
277,31699,5,65535
277,31699,6,65535
277,31699,7,65535
277,2259,0,17839
277,2259,1,65535
277,2259,2,2812
277,2259,3,65535
277,2259,4,65535
277,2259,5,65535
277,2259,6,65535
277,2259,7,65535
277,23339,0,17839
277,23339,1,65535
277,23339,2,2812
277,23339,3,65535
277,23339,4,65535
277,23339,5,65535
277,23339,6,65535
277,23339,7,65535
277,2812,0,17839
277,2812,1,65535
277,2812,2,2812
277,2812,3,65535
277,2812,4,65535
277,2812,5,65535
277,2812,6,65535
277,2812,7,65535
276,31699,0,17839
276,31699,1,65535
276,31699,2,2812
276,31699,3,65535
276,31699,4,65535
276,31699,5,65535
276,31699,6,65535
276,31699,7,65535
276,2259,0,17839
276,2259,1,65535
276,2259,2,2812
276,2259,3,65535
276,2259,4,65535
276,2259,5,65535
276,2259,6,65535
276,2259,7,65535
276,23339,0,17839
276,23339,1,65535
276,23339,2,2812
276,23339,3,65535
276,23339,4,65535
276,23339,5,65535
276,23339,6,65535
276,23339,7,65535
276,2812,0,17839
276,2812,1,65535
276,2812,2,2812
276,2812,3,65535
276,2812,4,65535
276,2812,5,65535
276,2812,6,65535
276,2812,7,65535
283,31699,0,17839
283,31699,1,65535
283,31699,2,2812
283,31699,3,65535
283,31699,4,65535
283,31699,5,65535
283,31699,6,65535
283,31699,7,65535
283,2259,0,17839
283,2259,1,65535
283,2259,2,2812
283,2259,3,65535
283,2259,4,65535
283,2259,5,65535
283,2259,6,65535
283,2259,7,65535
283,23339,0,17839
283,23339,1,65535
283,23339,2,2812
283,23339,3,65535
283,23339,4,65535
283,23339,5,65535
283,23339,6,65535
283,23339,7,65535
283,2812,0,17839
283,2812,1,65535
283,2812,2,2812
283,2812,3,65535
283,2812,4,65535
283,2812,5,65535
283,2812,6,65535
283,2812,7,65535
289,31699,0,17839
289,31699,1,65535
289,31699,2,2812
289,31699,3,65535
289,31699,4,65535
289,31699,5,65535
289,31699,6,65535
289,31699,7,65535
289,2259,0,17839
289,2259,1,65535
289,2259,2,2812
289,2259,3,65535
289,2259,4,65535
289,2259,5,65535
289,2259,6,65535
289,2259,7,65535
289,23339,0,17839
289,23339,1,65535
289,23339,2,2812
289,23339,3,65535
289,23339,4,65535
289,23339,5,65535
289,23339,6,65535
289,23339,7,65535
289,2812,0,17839
289,2812,1,65535
289,2812,2,2812
289,2812,3,65535
289,2812,4,65535
289,2812,5,65535
289,2812,6,65535
289,2812,7,65535
295,31699,0,17839
295,31699,1,65535
295,31699,2,2812
295,31699,3,65535
