rolling,TagID,AnchorIdx,AnchorId
48945,25651,0,17839
48945,25651,1,65535
48945,25651,2,20324
48945,25651,3,65535
48945,25651,4,65535
48945,25651,5,65535
48945,25651,6,65535
48945,25651,7,65535
48945,7283,0,17839
48945,7283,1,65535
48945,7283,2,20324
48945,7283,3,65535
48945,7283,4,65535
48945,7283,5,65535
48945,7283,6,65535
48945,7283,7,65535
48945,22305,0,17839
48945,22305,1,65535
48945,22305,2,20324
48945,22305,3,65535
48945,22305,4,65535
48945,22305,5,65535
48945,22305,6,65535
48945,22305,7,65535
48945,20324,0,17839
48945,20324,1,65535
48945,20324,2,20324
48945,20324,3,65535
48945,20324,4,65535
48945,20324,5,65535
48945,20324,6,65535
48945,20324,7,65535
48949,25651,0,17839
48949,25651,1,65535
48949,25651,2,20324
48949,25651,3,65535
48949,25651,4,65535
48949,25651,5,65535
48949,25651,6,65535
48949,25651,7,65535
48949,7283,0,17839
48949,7283,1,65535
48949,7283,2,20324
48949,7283,3,65535
48949,7283,4,65535
48949,7283,5,65535
48949,7283,6,65535
48949,7283,7,65535
48949,22305,0,17839
48949,22305,1,65535
48949,22305,2,20324
48949,22305,3,65535
48949,22305,4,65535
48949,22305,5,65535
48949,22305,6,65535
48949,22305,7,65535
48947,25651,0,17839
48947,25651,1,65535
48947,25651,2,20324
48947,25651,3,65535
48947,25651,4,65535
48947,25651,5,65535
48947,25651,6,65535
48947,25651,7,65535
48947,7283,0,17839
48947,7283,1,65535
48947,7283,2,20324
48947,7283,3,65535
48947,7283,4,65535
48947,7283,5,65535
48947,7283,6,65535
48947,7283,7,65535
48947,22305,0,17839
48947,22305,1,65535
48947,22305,2,20324
48947,22305,3,65535
48947,22305,4,65535
48947,22305,5,65535
48947,22305,6,65535
48947,22305,7,65535
48947,20324,0,65535
48947,20324,1,65535
48947,20324,2,20324
48947,20324,3,65535
48947,20324,4,65535
48947,20324,5,65535
48947,20324,6,65535
48947,20324,7,65535
48948,22305,0,17839
48948,22305,1,65535
48948,22305,2,20324
48948,22305,3,65535
48948,22305,4,65535
48948,22305,5,65535
48948,22305,6,65535
48948,22305,7,65535
48948,25651,0,17839
48948,25651,1,65535
48948,25651,2,20324
48948,25651,3,65535
48948,25651,4,65535
48948,25651,5,65535
48948,25651,6,65535
48948,25651,7,65535
48948,7283,0,17839
48948,7283,1,65535
48948,7283,2,20324
48948,7283,3,65535
48948,7283,4,65535
48948,7283,5,65535
48948,7283,6,65535
48948,7283,7,65535
48948,20324,0,17839
48948,20324,1,65535
48948,20324,2,20324
48948,20324,3,65535
48948,20324,4,65535
48948,20324,5,65535
48948,20324,6,65535
48948,20324,7,65535
48949,20324,0,17839
48949,20324,1,65535
48949,20324,2,20324
48949,20324,3,65535
48949,20324,4,65535
48949,20324,5,65535
48949,20324,6,65535
48949,20324,7,65535
48951,25651,0,17839
48951,25651,1,65535
48951,25651,2,20324
48951,25651,3,65535
48951,25651,4,65535
48951,25651,5,65535
48951,25651,6,65535
48951,25651,7,65535
48951,22305,0,17839
48951,22305,1,65535
48951,22305,2,20324
48951,22305,3,65535
48951,22305,4,65535
48951,22305,5,65535
48951,22305,6,65535
48951,22305,7,65535
48951,7283,0,17839
48951,7283,1,65535
48951,7283,2,20324
48951,7283,3,65535
48951,7283,4,65535
48951,7283,5,65535
48951,7283,6,65535
48951,7283,7,65535
48951,20324,0,17839
48951,20324,1,65535
48951,20324,2,20324
48951,20324,3,65535
48951,20324,4,65535
48951,20324,5,65535
48951,20324,6,65535
48951,20324,7,65535
48957,25651,0,17839
48957,25651,1,65535
48957,25651,2,20324
48957,25651,3,65535
48957,25651,4,65535
48957,25651,5,65535
48957,25651,6,65535
48957,25651,7,65535
48957,7283,0,17839
48957,7283,1,65535
48957,7283,2,20324
48957,7283,3,65535
48957,7283,4,65535
48957,7283,5,65535
48957,7283,6,65535
48957,7283,7,65535
48957,22305,0,17839
48957,22305,1,65535
48957,22305,2,20324
48957,22305,3,65535
48957,22305,4,65535
48957,22305,5,65535
48957,22305,6,65535
48957,22305,7,65535
48957,20324,0,17839
48957,20324,1,65535
48957,20324,2,20324
48957,20324,3,65535
48957,20324,4,65535
48957,20324,5,65535
48957,20324,6,65535
48957,20324,7,65535
48955,25651,0,17839
48955,25651,1,65535
48955,25651,2,20324
48955,25651,3,65535
48955,25651,4,65535
48955,25651,5,65535
48955,25651,6,65535
48955,25651,7,65535
48955,7283,0,17839
48955,7283,1,65535
48955,7283,2,20324
48955,7283,3,65535
48955,7283,4,65535
48955,7283,5,65535
48955,7283,6,65535
48955,7283,7,65535
48955,22305,0,17839
48955,22305,1,65535
48955,22305,2,20324
48955,22305,3,65535
48955,22305,4,65535
48955,22305,5,65535
48955,22305,6,65535
48955,22305,7,65535
48955,20324,0,17839
48955,20324,1,65535
48955,20324,2,20324
48955,20324,3,65535
48955,20324,4,65535
48955,20324,5,65535
48955,20324,6,65535
48955,20324,7,65535
48961,22305,0,17839
48961,22305,1,65535
48961,22305,2,20324
48961,22305,3,65535
48961,22305,4,65535
48961,22305,5,65535
48961,22305,6,65535
48961,22305,7,65535
48961,25651,0,17839
48961,25651,1,65535
48961,25651,2,20324
48961,25651,3,65535
48961,25651,4,65535
48961,25651,5,65535
48961,25651,6,65535
48961,25651,7,65535
48961,7283,0,17839
48961,7283,1,65535
48961,7283,2,20324
48961,7283,3,65535
48961,7283,4,65535
48961,7283,5,65535
48961,7283,6,65535
48961,7283,7,65535
48961,20324,0,17839
48961,20324,1,65535
48961,20324,2,20324
48961,20324,3,65535
48961,20324,4,65535
48961,20324,5,65535
48961,20324,6,65535
48961,20324,7,65535
48963,22305,0,17839
48963,22305,1,65535
48963,22305,2,20324
48963,22305,3,65535
48963,22305,4,65535
48963,22305,5,65535
48963,22305,6,65535
48963,22305,7,65535
48963,25651,0,17839
48963,25651,1,65535
48963,25651,2,20324
48963,25651,3,65535
48963,25651,4,65535
48963,25651,5,65535
48963,25651,6,65535
48963,25651,7,65535
48963,7283,0,17839
48963,7283,1,65535
48963,7283,2,20324
48963,7283,3,65535
48963,7283,4,65535
48963,7283,5,65535
48963,7283,6,65535
48963,7283,7,65535
48963,20324,0,17839
48963,20324,1,65535
48963,20324,2,20324
48963,20324,3,65535
48963,20324,4,65535
48963,20324,5,65535
48963,20324,6,65535
48963,20324,7,65535
48969,22305,0,17839
48969,22305,1,65535
48969,22305,2,20324
48969,22305,3,65535
48969,22305,4,65535
48969,22305,5,65535
48969,22305,6,65535
48969,22305,7,65535
48969,25651,0,17839
48969,25651,1,65535
48969,25651,2,20324
48969,25651,3,65535
48969,25651,4,65535
48969,25651,5,65535
48969,25651,6,65535
48969,25651,7,65535
48969,7283,0,17839
48969,7283,1,65535
48969,7283,2,20324
48969,7283,3,65535
48969,7283,4,65535
48969,7283,5,65535
48969,7283,6,65535
48969,7283,7,65535
48969,20324,0,17839
48969,20324,1,65535
48969,20324,2,20324
48969,20324,3,65535
48969,20324,4,65535
48969,20324,5,65535
48969,20324,6,65535
48969,20324,7,65535
48975,22305,0,17839
48975,22305,1,65535
48975,22305,2,20324
48975,22305,3,65535
48975,22305,4,65535
48975,22305,5,65535
48975,22305,6,65535
48975,22305,7,65535
48975,25651,0,17839
48975,25651,1,65535
48975,25651,2,20324
48975,25651,3,65535
48975,25651,4,65535
48975,25651,5,65535
48975,25651,6,65535
48975,25651,7,65535
48975,7283,0,17839
48975,7283,1,65535
48975,7283,2,20324
48975,7283,3,65535
48975,7283,4,65535
48975,7283,5,65535
48975,7283,6,65535
48975,7283,7,65535
48975,20324,0,17839
48975,20324,1,65535
48975,20324,2,20324
48975,20324,3,65535
48975,20324,4,65535
48975,20324,5,65535
48975,20324,6,65535
48975,20324,7,65535
48981,22305,0,17839
48981,22305,1,65535
48981,22305,2,20324
48981,22305,3,65535
48981,22305,4,65535
48981,22305,5,65535
48981,22305,6,65535
48981,22305,7,65535
48981,25651,0,17839
48981,25651,1,65535
48981,25651,2,20324
48981,25651,3,65535
48981,25651,4,65535
48981,25651,5,65535
48981,25651,6,65535
48981,25651,7,65535
48981,7283,0,17839
48981,7283,1,65535
48981,7283,2,20324
48981,7283,3,65535
48981,7283,4,65535
48981,7283,5,65535
48981,7283,6,65535
48981,7283,7,65535
48981,20324,0,17839
48981,20324,1,65535
48981,20324,2,20324
48981,20324,3,65535
48981,20324,4,65535
48981,20324,5,65535
48981,20324,6,65535
48981,20324,7,65535
48967,25651,0,17839
48967,25651,1,65535
48967,25651,2,20324
48967,25651,3,65535
48967,25651,4,65535
48967,25651,5,65535
48967,25651,6,65535
48967,25651,7,65535
48967,22305,0,17839
48967,22305,1,65535
48967,22305,2,20324
48967,22305,3,65535
48967,22305,4,65535
48967,22305,5,65535
48967,22305,6,65535
48967,22305,7,65535
48967,7283,0,17839
48967,7283,1,65535
48967,7283,2,20324
48967,7283,3,65535
48967,7283,4,65535
48967,7283,5,65535
48967,7283,6,65535
48967,7283,7,65535
48967,20324,0,17839
48967,20324,1,65535
48967,20324,2,20324
48967,20324,3,65535
48967,20324,4,65535
48967,20324,5,65535
48967,20324,6,65535
48967,20324,7,65535
48973,22305,0,17839
48973,22305,1,65535
48973,22305,2,20324
48973,22305,3,65535
48973,22305,4,65535
48973,22305,5,65535
48973,22305,6,65535
48973,22305,7,65535
48973,25651,0,17839
48973,25651,1,65535
48973,25651,2,20324
