rolling,AnchorId,TagID,Distance,RXL,FPL
48945,17839,20324,295,67,73
48945,20324,17839,300,64,74
48949,20324,17839,295,64,73
48947,17839,20324,300,67,75
48948,20324,17839,296,65,74
48955,17839,20324,293,67,73
48955,20324,17839,305,64,74
48951,17839,20324,295,65,73
48951,20324,17839,291,64,73
48957,17839,20324,305,67,74
48957,20324,17839,297,67,74
48963,17839,20324,292,67,73
48963,20324,17839,300,64,73
48961,17839,20324,293,65,73
48961,20324,17839,292,65,73
48969,17839,20324,290,65,73
48969,20324,17839,300,68,75
48975,17839,20324,293,67,73
48975,20324,17839,297,64,73
48981,17839,20324,292,67,73
48981,20324,17839,302,64,73
48967,17839,20324,304,65,73
48967,20324,17839,290,65,73
48973,17839,20324,304,65,73
48973,20324,17839,293,65,73
48987,17839,20324,295,67,73
48987,20324,17839,304,64,74
48979,17839,20324,304,65,73
48979,20324,17839,292,65,73
48985,17839,20324,299,65,71
48985,20324,17839,295,64,73
48993,17839,20324,296,65,71
48993,20324,17839,298,65,73
48999,17839,20324,294,65,74
48999,20324,17839,297,64,73
48991,17839,20324,301,65,73
48991,20324,17839,296,65,73
48997,17839,20324,290,67,73
48997,20324,17839,294,65,74
49003,17839,20324,304,65,73
49003,20324,17839,300,67,75
49009,17839,20324,294,67,73
49009,20324,17839,303,65,73
49005,17839,20324,300,67,73
49005,20324,17839,301,64,74
49011,17839,20324,303,65,73
49011,20324,17839,291,65,73
49015,17839,20324,304,65,73
49015,20324,17839,295,65,73
49021,17839,20324,294,67,73
49021,20324,17839,295,65,74
49017,17839,20324,295,67,74
49017,20324,17839,301,65,73
49023,17839,20324,295,65,71
49023,20324,17839,298,64,73
49027,17839,20324,294,67,75
49027,20324,17839,303,65,71
48953,17839,20324,291,67,73
48953,20324,17839,293,65,73
48954,17839,20324,290,67,73
48954,20324,17839,296,64,73
48959,17839,20324,297,65,73
48959,20324,17839,293,64,71
48960,17839,20324,299,65,73
48960,20324,17839,291,65,73
48966,17839,20324,298,65,74
48966,20324,17839,293,65,73
48965,17839,20324,300,67,74
48965,20324,17839,304,65,73
48971,17839,20324,300,67,73
48971,20324,17839,304,65,75
48972,17839,20324,299,67,74
48972,20324,17839,293,65,74
48977,17839,20324,297,67,73
48977,20324,17839,304,65,73
48978,17839,20324,304,65,74
48978,20324,17839,298,64,73
48984,17839,20324,303,65,73
48984,20324,17839,293,65,74
48983,17839,20324,302,67,74
48983,20324,17839,299,65,73
48990,17839,20324,298,65,73
48990,20324,17839,296,64,73
48989,17839,20324,304,67,74
48989,20324,17839,301,65,73
48996,17839,20324,296,65,73
48996,20324,17839,292,64,73
48995,17839,20324,298,65,73
48995,20324,17839,290,65,74
49001,17839,20324,297,67,73
49001,20324,17839,304,65,75
49007,17839,20324,301,65,73
49007,20324,17839,294,65,73
49013,17839,20324,291,67,73
49013,20324,17839,304,65,73
49002,17839,20324,296,65,74
49002,20324,17839,298,64,71
49008,17839,20324,298,67,73
49008,20324,17839,293,64,73
49019,17839,20324,301,65,71
49019,20324,17839,294,65,73
49014,17839,20324,301,65,73
49014,20324,17839,296,65,73
49025,17839,20324,298,65,73
49025,20324,17839,294,65,74
49020,17839,20324,294,67,73
49020,20324,17839,302,65,75
48946,17839,20324,298,67,73
48946,20324,17839,305,64,74
49026,17839,20324,300,65,73
49026,20324,17839,298,65,73
48952,17839,20324,289,65,73
48952,20324,17839,290,65,73
48958,17839,20324,306,65,73
48958,20324,17839,299,64,71
48964,17839,20324,295,67,73
48964,20324,17839,298,65,74
48970,17839,20324,295,67,73
48970,20324,17839,299,65,74
48976,17839,20324,295,67,73
48976,20324,17839,304,65,74
48982,17839,20324,293,67,74
48982,20324,17839,303,65,75
48988,17839,20324,293,65,71
48988,20324,17839,298,65,75
48994,17839,20324,296,65,74
48994,20324,17839,296,65,73
49000,17839,20324,303,67,73
49000,20324,17839,296,65,73
49006,17839,20324,296,67,74
49006,20324,17839,298,65,73
49012,17839,20324,295,67,73
49012,20324,17839,301,64,73
49018,17839,20324,300,65,73
49018,20324,17839,294,65,73
49024,17839,20324,291,67,74
49024,20324,17839,300,65,73
49029,17839,20324,303,67,73
49029,20324,17839,291,65,73
49030,17839,20324,293,67,73
49030,20324,17839,298,65,74
48944,17839,20324,293,65,73
48944,20324,17839,298,64,73
48950,17839,20324,296,65,73
48950,20324,17839,289,65,73
48956,17839,20324,296,67,74
48956,20324,17839,306,65,73
48962,17839,20324,291,65,71
48962,20324,17839,295,64,73
48968,17839,20324,293,65,73
48968,20324,17839,295,64,73
48974,17839,20324,293,67,73
48974,20324,17839,295,64,73
48980,17839,20324,298,65,73
48980,20324,17839,293,64,71
48986,17839,20324,293,65,73
48986,20324,17839,293,65,73
48992,17839,20324,296,65,73
48992,20324,17839,296,64,73
48998,17839,20324,292,67,74
48998,20324,17839,303,65,73
49004,17839,20324,298,65,73
49004,20324,17839,296,64,73
49010,17839,20324,293,65,73
49010,20324,17839,295,65,73
49031,17839,20324,291,65,73
49031,20324,17839,298,65,73
49016,17839,20324,296,65,73
49016,20324,17839,300,64,73
49022,17839,20324,302,65,73
49022,20324,17839,291,64,73
49028,17839,20324,298,65,73
