rolling,AnchorId,TagID,Distance,RXL,FPL
7922,17839,26015,304,67,73
7922,26015,17839,306,65,75
7925,17839,26015,305,67,74
7925,26015,17839,309,65,75
7924,17839,26015,306,68,73
7924,26015,17839,301,67,74
7928,17839,26015,303,67,74
7928,26015,17839,310,65,75
7934,17839,26015,301,68,76
7934,26015,17839,306,65,74
7940,17839,26015,300,67,75
7940,26015,17839,304,67,74
7946,17839,26015,303,67,74
7946,26015,17839,302,67,73
7923,17839,26015,300,68,76
7923,26015,17839,305,67,74
7952,17839,26015,304,67,74
7952,26015,17839,300,65,73
7958,17839,26015,305,67,75
7958,26015,17839,298,67,74
7926,17839,26015,301,67,75
7926,26015,17839,303,67,74
7964,17839,26015,303,67,75
7964,26015,17839,301,67,73
7970,17839,26015,303,67,74
7970,26015,17839,302,67,74
7976,17839,26015,304,67,74
7976,26015,17839,303,67,74
7982,17839,26015,305,67,74
7982,26015,17839,304,65,74
7988,17839,26015,309,67,73
7988,26015,17839,306,67,75
7994,17839,26015,308,68,74
7994,26015,17839,311,65,75
8000,17839,26015,301,67,74
8000,26015,17839,303,67,74
8006,17839,26015,309,68,74
8006,26015,17839,309,65,75
7931,17839,26015,303,68,75
7931,26015,17839,310,65,74
8012,17839,26015,300,67,74
8012,26015,17839,301,67,74
7937,17839,26015,301,67,75
7937,26015,17839,304,67,74
7943,17839,26015,302,67,74
7943,26015,17839,303,68,75
7949,17839,26015,302,67,74
7949,26015,17839,301,65,73
7930,17839,26015,310,67,73
7930,26015,17839,305,67,75
7955,17839,26015,308,67,74
7955,26015,17839,305,67,73
7936,17839,26015,306,67,73
7936,26015,17839,309,67,75
7942,17839,26015,304,68,75
7942,26015,17839,312,65,74
7961,17839,26015,302,68,75
7961,26015,17839,305,67,74
7948,17839,26015,302,68,75
7948,26015,17839,311,65,74
7967,17839,26015,300,67,74
7967,26015,17839,302,67,74
7954,17839,26015,300,68,75
7954,26015,17839,310,65,74
7973,17839,26015,304,67,75
7973,26015,17839,300,67,74
7960,17839,26015,298,68,75
7960,26015,17839,310,65,74
7979,17839,26015,306,67,74
7979,26015,17839,302,65,74
7966,17839,26015,301,68,75
7966,26015,17839,313,67,75
7985,17839,26015,307,67,74
7985,26015,17839,302,67,74
7991,17839,26015,310,67,74
7991,26015,17839,304,67,76
7997,17839,26015,301,68,77
7997,26015,17839,307,65,74
8003,17839,26015,306,67,73
8003,26015,17839,304,67,75
7972,17839,26015,302,68,75
7972,26015,17839,312,65,74
7978,17839,26015,303,68,75
7978,26015,17839,309,65,74
8009,17839,26015,302,68,75
8009,26015,17839,310,65,74
7984,17839,26015,304,68,77
7984,26015,17839,308,65,74
7990,17839,26015,306,67,75
7990,26015,17839,306,70,79
8015,17839,26015,307,67,73
8015,26015,17839,300,65,74
7996,17839,26015,311,67,73
7996,26015,17839,303,68,76
8002,17839,26015,303,68,75
8002,26015,17839,305,67,74
8008,17839,26015,309,67,73
8008,26015,17839,305,67,75
8014,17839,26015,301,67,75
8014,26015,17839,306,67,74
7932,17839,26015,305,67,74
7932,26015,17839,301,67,74
7938,17839,26015,309,67,74
7938,26015,17839,300,67,74
7929,17839,26015,306,67,75
7929,26015,17839,303,67,74
7935,17839,26015,306,67,73
7935,26015,17839,301,67,74
7941,17839,26015,310,67,73
7941,26015,17839,302,67,75
7944,17839,26015,312,67,73
7944,26015,17839,303,67,75
7947,17839,26015,310,67,73
7947,26015,17839,302,67,75
7950,17839,26015,311,67,73
7950,26015,17839,304,67,75
7956,17839,26015,310,67,74
7956,26015,17839,305,65,74
7953,17839,26015,313,67,73
7953,26015,17839,308,67,75
7962,17839,26015,310,67,73
7962,26015,17839,303,67,75
7959,17839,26015,311,67,73
7959,26015,17839,302,67,75
7965,17839,26015,309,67,73
7965,26015,17839,300,67,74
7971,17839,26015,314,67,74
7971,26015,17839,304,67,75
7968,17839,26015,313,67,73
7968,26015,17839,303,67,75
7977,17839,26015,311,67,73
7977,26015,17839,306,67,75
7983,17839,26015,306,68,74
7983,26015,17839,307,67,76
7974,17839,26015,312,67,73
7974,26015,17839,304,65,74
7989,17839,26015,304,68,75
7989,26015,17839,310,65,74
7980,17839,26015,309,68,74
7980,26015,17839,305,67,76
7995,17839,26015,302,67,74
7995,26015,17839,301,65,74
7986,17839,26015,308,68,74
7986,26015,17839,309,65,75
7992,17839,26015,306,68,76
7992,26015,17839,308,65,73
7998,17839,26015,303,67,73
7998,26015,17839,301,67,74
8001,17839,26015,312,67,73
8001,26015,17839,306,67,76
8004,17839,26015,305,68,76
8004,26015,17839,309,65,74
8010,17839,26015,305,67,74
8010,26015,17839,300,65,74
8007,17839,26015,301,67,75
8007,26015,17839,302,67,73
8016,17839,26015,306,68,75
8016,26015,17839,313,65,74
8013,17839,26015,311,67,74
8013,26015,17839,307,67,76
8018,17839,26015,313,67,73
8018,26015,17839,305,67,75
8019,17839,26015,302,68,76
8019,26015,17839,308,65,74
8020,17839,26015,305,67,74
8020,26015,17839,302,67,74
8022,17839,26015,302,68,75
8022,26015,17839,305,67,73
8021,17839,26015,308,69,76
8021,26015,17839,312,67,75
7921,17839,26015,310,67,74
7921,26015,17839,300,67,74
7927,17839,26015,309,67,73
7927,26015,17839,306,65,74
7933,17839,26015,310,67,73
7933,26015,17839,306,67,76
7939,17839,26015,304,68,75
7939,26015,17839,310,65,75
7945,17839,26015,303,68,75
7945,26015,17839,310,65,74
7951,17839,26015,301,68,75
7951,26015,17839,313,67,76
7957,17839,26015,305,67,74
7957,26015,17839,311,65,74
7963,17839,26015,305,67,74
7963,26015,17839,309,65,74
7969,17839,26015,302,68,75
7969,26015,17839,314,65,74
7975,17839,26015,300,68,75
7975,26015,17839,311,65,74
7981,17839,26015,302,68,76
7981,26015,17839,306,65,74
7987,17839,26015,302,68,75
7987,26015,17839,304,67,73
8024,17839,26015,305,68,76
8024,26015,17839,311,65,74
7993,17839,26015,304,67,74
7993,26015,17839,302,67,74
7999,17839,26015,307,68,75
7999,26015,17839,312,65,74
8005,17839,26015,304,67,73
8005,26015,17839,301,65,74
8011,17839,26015,310,68,75
8011,26015,17839,311,65,75
8017,17839,26015,300,67,74
8017,26015,17839,302,65,73
8023,17839,26015,312,67,73
8023,26015,17839,305,67,75
8025,17839,26015,305,68,74
8025,26015,17839,301,67,74
8026,17839,26015,311,68,76
8026,26015,17839,312,65,75
8027,17839,26015,301,67,74
8027,26015,17839,304,67,74
8029,17839,26015,304,68,76
8029,26015,17839,306,65,74
8030,17839,26015,307,67,73
8030,26015,17839,304,65,74
8028,17839,26015,312,67,73
8028,26015,17839,307,67,76
8031,17839,26015,306,68,75
8031,26015,17839,310,65,74
8032,17839,26015,304,67,74
8032,26015,17839,303,67,74
8033,17839,26015,310,67,74
8033,26015,17839,310,67,75
8034,17839,26015,303,67,74
8034,26015,17839,301,67,74
8035,17839,26015,310,67,73
8035,26015,17839,308,67,75
8036,17839,26015,301,68,76
8036,26015,17839,309,65,74
8037,17839,26015,308,67,74
8037,26015,17839,305,67,74
8038,17839,26015,309,68,75
8038,26015,17839,311,65,74
8039,17839,26015,305,67,74
8039,26015,17839,303,67,74
8040,17839,26015,311,68,75
8040,26015,17839,311,67,76
8041,17839,26015,303,67,74
8041,26015,17839,303,67,74
8042,17839,26015,311,68,74
8042,26015,17839,308,67,76
8043,17839,26015,303,68,75
8043,26015,17839,305,67,74
8045,17839,26015,305,68,76
8045,26015,17839,310,65,74
8044,17839,26015,308,67,74
8044,26015,17839,304,67,74
8046,17839,26015,304,67,74
8046,26015,17839,299,67,74
8047,17839,26015,310,68,75
8047,26015,17839,309,67,75
8048,17839,26015,299,67,73
8048,26015,17839,302,67,74
8049,17839,26015,309,68,75
8049,26015,17839,312,67,75
8050,17839,26015,302,67,73
8050,26015,17839,300,67,73
8051,17839,26015,312,68,75
8051,26015,17839,311,65,75
8053,17839,26015,311,67,73
8053,26015,17839,307,67,76
8052,17839,26015,300,67,75
8052,26015,17839,304,67,74
8054,17839,26015,304,68,75
8054,26015,17839,304,67,74
8055,17839,26015,307,67,73
8055,26015,17839,307,67,75
8056,17839,26015,304,68,76
8056,26015,17839,307,65,74
8057,17839,26015,307,67,74
8057,26015,17839,304,67,74
8058,17839,26015,307,68,76
8058,26015,17839,308,65,74
8059,17839,26015,304,67,73
8059,26015,17839,298,67,74
8060,17839,26015,308,68,76
8060,26015,17839,312,65,74
8061,17839,26015,298,67,74
8061,26015,17839,301,67,74
8062,17839,26015,312,68,75
8062,26015,17839,313,67,75
8063,17839,26015,301,67,74
8063,26015,17839,301,67,74
8065,17839,26015,301,67,74
8065,26015,17839,300,65,74
8064,17839,26015,313,67,74
8064,26015,17839,308,67,75
8067,17839,26015,300,67,74
8067,26015,17839,302,65,74
8066,17839,26015,308,68,74
8066,26015,17839,308,65,75
8068,17839,26015,308,67,73
8068,26015,17839,308,65,75
8069,17839,26015,302,67,75
8069,26015,17839,305,67,74
8070,17839,26015,308,67,73
8070,26015,17839,307,67,76
8071,17839,26015,305,68,75
8071,26015,17839,305,67,74
8072,17839,26015,307,68,73
8072,26015,17839,303,65,75
8073,17839,26015,305,68,77
8073,26015,17839,308,65,74
8074,17839,26015,303,67,73
8074,26015,17839,306,67,75
8075,17839,26015,308,68,76
8075,26015,17839,313,68,77
8076,17839,26015,306,67,73
8076,26015,17839,306,67,74
8077,17839,26015,313,68,75
8077,26015,17839,309,65,74
8078,17839,26015,306,67,73
8078,26015,17839,301,67,74
8079,17839,26015,309,68,75
8079,26015,17839,312,65,74
8080,17839,26015,301,67,74
8080,26015,17839,300,67,74
8081,17839,26015,312,68,74
8081,26015,17839,308,67,76
8082,17839,26015,300,67,74
8082,26015,17839,299,67,74
8083,17839,26015,308,67,73
8083,26015,17839,308,67,76
8084,17839,26015,299,67,74
8084,26015,17839,304,67,75
8085,17839,26015,308,68,75
8085,26015,17839,311,65,75
8086,17839,26015,304,67,74
8086,26015,17839,301,69,75
8088,17839,26015,301,67,74
8088,26015,17839,303,67,74
8087,17839,26015,311,67,73
8087,26015,17839,309,67,75
8090,17839,26015,303,68,76
8090,26015,17839,306,65,74
8089,17839,26015,309,67,73
8089,26015,17839,305,70,80
8091,17839,26015,305,67,73
8091,26015,17839,304,67,75
8092,17839,26015,306,68,76
8092,26015,17839,310,65,73
8093,17839,26015,304,67,73
8093,26015,17839,300,67,74
8094,17839,26015,310,68,76
8094,26015,17839,309,65,74
8095,17839,26015,300,67,73
8095,26015,17839,300,67,74
8096,17839,26015,309,68,75
8096,26015,17839,312,65,74
8097,17839,26015,300,67,73
8097,26015,17839,304,67,74
8098,17839,26015,312,68,75
8098,26015,17839,311,65,74
8099,17839,26015,304,67,74
8099,26015,17839,304,67,74
8100,17839,26015,311,68,75
8100,26015,17839,309,65,75
8101,17839,26015,304,67,73
8101,26015,17839,304,67,73
8102,17839,26015,309,67,75
8102,26015,17839,308,65,74
8103,17839,26015,304,67,74
8103,26015,17839,304,67,74
8106,17839,26015,309,68,75
8106,26015,17839,309,67,74
8104,17839,26015,308,68,76
8104,26015,17839,309,65,74
8105,17839,26015,304,67,73
8105,26015,17839,301,67,74
8107,17839,26015,301,67,74
8107,26015,17839,300,65,74
8108,17839,26015,309,68,75
8108,26015,17839,311,65,75
8110,17839,26015,311,68,75
8110,26015,17839,311,65,74
8109,17839,26015,300,67,73
8109,26015,17839,301,67,74
8111,17839,26015,301,67,73
8111,26015,17839,300,67,74
8112,17839,26015,311,68,75
8112,26015,17839,312,65,74
8113,17839,26015,300,67,73
8113,26015,17839,301,67,74
8115,17839,26015,301,67,73
8115,26015,17839,306,67,75
8114,17839,26015,312,68,76
8114,26015,17839,308,65,73
8116,17839,26015,308,68,76
8116,26015,17839,308,64,73
